N,n,r,h,h_floor,eps_h,eps_bucket,z_h,modulus,rho_mod,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
1208,604,20,15.940678984500929,15,5,5,1.0167167750844748,210,158,1.0067114093959733,151,shell_other,eps=5;rho210=158,5+158i,0.07556969859897292,10.94891459204191,4.266548675034731
1210,605,32,23.486269623650156,23,9,>5,1.7567617667735336,210,160,1.4814814814814814,"5,11",ring_5,eps=>5;rho210=160,9+160i,6.262501764423224,-3.5028426124860994,4.565927436029498
1212,606,42,32.06474576735926,32,10,>5,1.7545473147297739,210,162,2.0202020202020203,"3,101",cone_3,eps=>5;rho210=162,10+162i,-5.1341100706167415,-6.392256152101582,5.005055174220574
1214,607,22,15.91712516635806,15,7,>5,1.5246724904800573,210,164,1.0016528925619834,607,shell_other,eps=>5;rho210=164,7+164i,0.9746353314937464,11.051836493278456,4.778224599199211
1216,608,21,16.845524890358362,16,5,5,1.012217607306984,210,166,1.0588235294117647,19,shell_other,eps=5;rho210=166,5+166i,1.2805463876133178,11.073837460726901,4.298928143144682
1218,609,49,39.64416340185908,39,10,>5,1.4859116899617224,210,168,2.4888888888888885,"3,7,29",cone_3,eps=>5;rho210=168,10+168i,-3.6144338907004157,-7.342017541434558,4.742853554852291
1220,610,27,21.62338662791133,21,6,>5,1.1562372347954444,210,170,1.3559322033898304,"5,61",ring_5,eps=>5;rho210=170,6+170i,7.283728092105217,-3.270885834434571,4.126257418120828
1222,611,25,17.804542318833732,17,8,>5,1.7052694675334408,210,172,1.115151515151515,"13,47",shell_other,eps=>5;rho210=172,8+172i,2.157682415346966,11.342552077540404,5.029072033471907
1224,612,45,34.10091733505754,34,11,>5,1.8664094107192781,210,174,2.1333333333333333,"3,17",cone_3,eps=>5;rho210=174,11+174i,-2.7948193499897465,-5.9562237022869855,5.129753664147905
1226,613,22,16.029765692759455,16,6,>5,1.4911721659229593,210,176,1.0016366612111294,613,shell_other,eps=>5;rho210=176,6+176i,2.646781023677242,11.716885351257101,4.757534321535763
1228,614,22,16.07486684936338,16,6,>5,1.4778298083789934,210,178,1.0032786885245901,307,shell_other,eps=>5;rho210=178,6+178i,2.898190771207742,11.8828413571316,4.7472104798875625
1230,615,55,43.87306402594171,43,12,>5,1.679873604265877,210,180,2.7350427350427347,"3,5,41",mobius_3x5,eps=>5;rho210=180,12+180i,22.844685182663056,-6.075043067521667,-1.9245130140239395
1232,616,28,21.41311542554265,21,7,>5,1.4234431411491804,210,182,1.3333333333333333,"7,11",shell_other,eps=>5;rho210=182,7+182i,3.5523055659160705,12.054764981996216,4.877043715939134
1234,617,25,16.104721251541502,16,9,>5,2.216577680511836,210,184,1.0016260162601627,617,shell_other,eps=>5;rho210=184,9+184i,3.582832917590796,12.470369178991856,5.491410407700819
1236,618,42,32.513380658562276,32,10,>5,1.6637206617928888,210,186,2.01980198019802,"3,103",cone_3,eps=>5;rho210=186,10+186i,-1.1316890037153087,-4.253315228329852,4.939776074051279
1238,619,18,16.142157946860316,16,2,2,0.46241082559570995,210,188,1.0016207455429498,619,shell_other,eps=2;rho210=188,2+188i,3.9764442355712566,12.925070623990855,3.7414582707052872
1240,620,34,22.254838691995282,22,12,>5,2.489698515579448,210,190,1.3793103448275863,"5,31",ring_5,eps=>5;rho210=190,12+190i,8.905156270110236,-1.980702007258379,5.147538942171291
1242,621,44,33.84536850390659,33,11,>5,1.7454786630323607,210,192,2.0952380952380953,"3,23",cone_3,eps=>5;rho210=192,11+192i,-0.2719521291856486,-3.422349283712401,5.027843450554045
1244,622,23,16.224514948804654,16,7,>5,1.6821105337413353,210,194,1.0032362459546926,311,shell_other,eps=>5;rho210=194,7+194i,4.459137730379285,13.685780736392296,4.968343228819252
1246,623,26,19.652375428034265,19,7,>5,1.4318703844607097,210,196,1.2137931034482758,"7,89",shell_other,eps=>5;rho210=196,7+196i,4.749234122754737,13.88550473530347,4.8355316125060845
1248,624,45,35.366335383999086,35,10,>5,1.6199309099455763,210,198,2.1818181818181817,"3,13",cone_3,eps=>5;rho210=198,10+198i,0.4702771704104478,-2.4283356386384156,4.908574665984791
1250,625,28,21.63767536154646,21,7,>5,1.3677619723842216,210,200,1.3333333333333333,5,ring_5,eps=>5;rho210=200,7+200i,9.361080192565286,-1.0367559356752327,4.316551518312334
1252,626,23,16.29917685954755,16,7,>5,1.659760097046478,210,202,1.0032154340836013,313,shell_other,eps=>5;rho210=202,7+202i,4.87532708607132,14.810235471808367,4.954337720854395
1254,627,51,38.27202013951599,38,13,>5,2.0574002401911504,210,204,2.3529411764705883,"3,11,19",cone_3,eps=>5;rho210=204,13+204i,1.2602667483267558,-1.3175441627254947,5.352292849675243
1256,628,20,16.38933432439566,16,4,4,0.8918804004764531,210,206,1.0064516129032257,157,shell_other,eps=4;rho210=206,4+206i,4.982476252078928,15.400835241945108,4.192394446549019
1258,629,21,17.886647271773402,17,4,4,0.73614582887057,210,208,1.097142857142857,"17,37",shell_other,eps=4;rho210=208,4+208i,5.08364385502516,15.695431842814106,4.088600811909339
1260,630,68,52.22907596851258,52,16,>5,2.1822322442653315,210,0,3.1999999999999997,"3,5,7",mobius_3x5,eps=>5;rho210=0,16,20.58654759937853,0.0,5.114387241154661
1262,631,22,16.366210201145435,16,6,>5,1.3926005959463725,210,2,1.0015898251192368,631,shell_other,eps=>5;rho210=2,6+2i,5.0012531235244095,16.29963201414008,4.69665390658082
1264,632,26,16.571324147558247,16,10,>5,2.3161788904931573,210,4,1.0129870129870129,79,shell_other,eps=>5;rho210=4,10+4i,4.982474408792869,16.599164536391605,5.628574314111128
1266,633,42,32.911730137531585,32,10,>5,1.5841848569946158,210,6,2.0095693779904304,"3,211",cone_3,eps=>5;rho210=6,10+6i,0.3514979976151027,1.152626949037246,4.891485974038623
1268,634,21,16.44818090695515,16,5,5,1.1223441731681518,210,8,1.0031746031746032,317,shell_other,eps=5;rho210=8,5+8i,4.864698336807443,17.187170710663096,4.433452916747429
1270,635,27,22.061422619352534,22,5,5,1.0514414790786313,210,10,1.3439999999999999,"5,127",ring_5,eps=5;rho210=10,5+10i,9.363516838470272,1.03750754139732,4.099992272176844
1272,636,40,33.51116882191109,33,7,>5,1.1209124355108548,210,12,2.0392156862745097,"3,53",cone_3,eps=>5;rho210=12,7+12i,0.12239461779010075,2.297773132838542,4.43437376944804
1274,637,26,21.537121350791693,21,5,5,0.961659332246575,210,14,1.3090909090909089,"7,13",shell_other,eps=5;rho210=14,5+14i,4.803745710872003,18.13876538740806,4.447966527844465
1276,638,25,18.978431319073472,18,7,>5,1.3822273686899305,210,16,1.1522633744855968,"11,29",shell_other,eps=>5;rho210=16,7+16i,4.549991402441759,18.361370827602702,4.783969669524887
1278,639,42,33.45626685597621,33,9,>5,1.4770967253201057,210,18,2.028985507246377,"3,71",cone_3,eps=>5;rho210=18,9+18i,-0.4070191222028763,3.341650512118513,4.796689286787249
1280,640,27,22.01032860071308,22,5,5,1.0635518868487857,210,20,1.3333333333333333,5,ring_5,eps=5;rho210=20,5+20i,8.909368470637572,1.983573836951434,4.119293824080193
1282,641,26,16.55218906108748,16,10,>5,2.3222206083869645,210,22,1.001564945226917,641,shell_other,eps=>5;rho210=22,10+22i,3.952686436316588,19.05655779815977,5.646751575973845
1284,642,46,33.40494004822867,33,13,>5,2.1791889633508084,210,24,2.019047619047619,"3,107",cone_3,eps=>5;rho210=24,13+24i,-1.111212006053993,4.271205442420489,5.5048840345493115
1286,643,22,16.589306364531797,16,6,>5,1.3284304755237544,210,26,1.001560062402496,643,shell_other,eps=>5;rho210=26,6+26i,3.5575483219276327,19.504721680615006,4.657018623853564
1288,644,29,20.845976288172483,20,9,>5,1.7859152688437598,210,28,1.2571428571428571,"7,23",shell_other,eps=>5;rho210=28,9+28i,3.4829466352455043,19.868204121585883,5.258366326018199
1290,645,60,45.34792687447474,45,15,>5,2.1758069449797603,210,30,2.7317073170731705,"3,5,43",mobius_3x5,eps=>5;rho210=30,15+30i,19.040627160333482,1.3049051853527525,3.3258670171766833
1292,646,23,18.769838320043334,18,5,5,0.976397594733248,210,32,1.1294117647058823,"17,19",shell_other,eps=5;rho210=32,5+32i,2.9334422364080313,20.16723673850828,4.3820903571825
1294,647,26,16.663463357533544,16,10,>5,2.2871948822139685,210,34,1.0015503875968992,647,shell_other,eps=>5;rho210=34,10+34i,2.622381012937051,20.24362968852295,5.623859675767308
1296,648,49,33.31240583416659,33,16,>5,2.7180243701261144,210,36,2.0,3,cone_3,eps=>5;rho210=36,16+36i,-2.944940891980081,5.67725113123273,6.055839374729837
1298,649,20,18.85252223766262,18,2,2,0.2642771088009035,210,38,1.1306042884990255,"11,59",shell_other,eps=2;rho210=38,2+38i,2.1408935870361674,20.62120853292734,3.6768004107505927
1300,650,33,24.28109441688727,24,9,>5,1.769407426984205,210,40,1.4545454545454544,"5,13",ring_5,eps=>5;rho210=40,9+40i,7.287447811570433,3.280363525062099,4.668885627158663
1302,651,53,41.49128492132812,41,12,>5,1.7866866653468172,210,42,2.4827586206896552,"3,7,31",cone_3,eps=>5;rho210=42,12+42i,-3.600104844429837,7.386117811244932,5.130519618043335
1304,652,24,16.834191026564817,16,8,>5,1.7465020551413997,210,44,1.0062111801242235,163,shell_other,eps=>5;rho210=44,8+44i,1.2543255835249756,20.825293141569844,5.095798424333438
1306,653,24,16.77450638321764,16,8,>5,1.7641789958095615,210,46,1.001536098310292,653,shell_other,eps=>5;rho210=46,8+46i,0.9624985486635498,20.886545808338546,5.112865625840964
1308,654,46,33.847956176207305,33,13,>5,2.0887338358854066,210,48,2.0186915887850465,"3,109",cone_3,eps=>5;rho210=48,13+48i,-5.126807758888904,6.446163982049516,5.438557067850152
1310,655,30,22.554515209196445,22,8,>5,1.5677479171083026,210,50,1.3436692506459949,"5,131",ring_5,eps=>5;rho210=50,8+50i,6.263451821950007,3.5155202491352444,4.527624824798519
1312,656,23,17.235125615302316,17,6,>5,1.388617461318011,210,52,1.0256410256410255,41,shell_other,eps=>5;rho210=52,6+52i,0.0747431965316371,20.995841935913386,4.756751451501544
1314,657,46,34.11932838792283,34,12,>5,2.0339522593472106,210,54,2.028169014084507,"3,73",cone_3,eps=>5;rho210=54,12+54i,-6.293165136703696,6.527828961583688,5.389738355018495
1316,658,27,20.658532572803328,20,7,>5,1.39521144910164,210,56,1.2266666666666666,"7,47",shell_other,eps=>5;rho210=56,7+56i,-0.5393995290520273,21.132043705837017,4.879828117720282
1318,659,26,16.885320925588616,16,10,>5,2.2181286032954497,210,58,1.0015220700152208,659,shell_other,eps=>5;rho210=58,10+58i,-0.8145662545298988,20.905214217906362,5.578727128902191
1320,660,66,50.00923662362633,50,16,>5,2.261226592611926,210,60,2.962962962962963,"3,5,11",mobius_3x5,eps=>5;rho210=60,16+60i,17.640650437998627,1.5744133012412744,1.3207073076416647
1322,661,21,16.92220880557027,16,5,5,0.9912802624104169,210,62,1.0015174506828528,661,shell_other,eps=5;rho210=62,5+62i,-1.3936436666184668,20.770304549889715,4.355825334577906
1324,662,26,16.966427978627273,16,10,>5,2.1931296300805423,210,64,1.0030395136778116,331,shell_other,eps=>5;rho210=64,10+64i,-1.6764081916561178,20.67835070480566,5.560498582329433
1326,663,53,39.40876513443998,39,14,>5,2.165022948862295,210,66,2.327272727272727,"3,13,17",cone_3,eps=>5;rho210=66,14+66i,-8.89212739433469,6.766468409547317,5.532653521068557
1328,664,22,17.16116928452514,17,5,5,1.1680649466849409,210,68,1.0123456790123457,83,shell_other,eps=5;rho210=68,5+68i,-2.2252362293949624,20.449234317805377,4.54459249323175
1330,665,41,28.749707514821015,28,13,>5,2.2847029505811522,210,70,1.6941176470588235,"5,7,19",ring_5,eps=>5;rho210=70,13+70i,4.23585169694241,3.055594492982166,5.085082135837121
1332,666,47,34.948252748683736,34,13,>5,2.038624696788556,210,72,2.057142857142857,"3,37",cone_3,eps=>5;rho210=72,13+72i,-9.649200884244088,5.528303036655928,5.4121373712914025
1334,667,25,18.4769018338797,18,7,>5,1.5175371742577712,210,74,1.0864197530864197,"23,29",shell_other,eps=>5;rho210=74,7+74i,-3.0182513870351175,20.026202131808937,4.941622507487408
1336,668,25,17.128741577668006,17,8,>5,1.9018726908926282,210,76,1.006060606060606,167,shell_other,eps=>5;rho210=76,8+76i,-3.2098148798663195,19.78679743377752,5.282703600032843
1338,669,45,34.242160592348824,34,11,>5,1.8384189035660328,210,78,2.009049773755656,"3,223",cone_3,eps=>5;rho210=78,11+78i,-10.489181117191915,4.695315336538905,5.217787243861443
1340,670,27,23.099802429626177,23,4,4,0.8114886963865378,210,80,1.3538461538461537,"5,67",ring_5,eps=4;rho210=80,4+80i,3.412475238249649,2.4008721195358307,3.989930917384325
1342,671,27,19.30027532543524,19,8,>5,1.7526429240531507,210,82,1.1299435028248588,"11,61",shell_other,eps=>5;rho210=82,8+82i,-3.9103382897755643,19.21525502980575,5.209172527665513
1344,672,54,41.0379050687175,41,13,>5,2.0234040109201965,210,84,2.4,"3,7",cone_3,eps=>5;rho210=84,13+84i,-12.12396615889896,4.4493218545057305,5.408601817073615
1346,673,25,17.143014865038428,17,8,>5,1.8976334651347748,210,86,1.0014903129657229,673,shell_other,eps=>5;rho210=86,8+86i,-4.174617226445096,18.666846875849586,5.285609960044466
1348,674,22,17.187027485388448,17,5,5,1.1609486098065833,210,88,1.0029850746268656,337,shell_other,eps=5;rho210=88,5+88i,-4.326554717318891,18.412370062497182,4.5517043907212
1350,675,60,45.74464186344907,45,15,>5,2.1076962198444558,210,90,2.6666666666666665,"3,5",mobius_3x5,eps=>5;rho210=90,15+90i,15.764270276930135,1.0766706891440323,-0.4890862567592169
1352,676,22,18.73374510647656,18,4,4,0.7546364353299503,210,92,1.0909090909090908,13,shell_other,eps=4;rho210=92,4+92i,-4.648280549505262,17.905045011704534,4.19897454158342
1354,677,21,17.21642065407497,17,4,4,0.9118668199826724,210,94,1.0014814814814814,677,shell_other,eps=4;rho210=94,4+94i,-4.682842581036869,17.59938301738006,4.307561049077714
1356,678,41,34.72867625935432,34,7,>5,1.0641800322547321,210,96,2.018018018018018,"3,113",cone_3,eps=>5;rho210=96,7+96i,-12.295484249069542,1.7374432555712205,4.460959100847864
1358,679,24,20.890780480649266,20,4,4,0.6802586184460394,210,98,1.2126315789473685,"7,97",shell_other,eps=4;rho210=98,4+98i,-5.007925959469199,17.06446752304282,4.19940306171569
1360,680,33,24.527608688005518,24,9,>5,1.7107179084791342,210,100,1.422222222222222,"5,17",ring_5,eps=>5;rho210=100,9+100i,2.5065799611774984,0.5265483493056322,4.683655156470001
1362,681,44,34.68206752460775,34,10,>5,1.5822207260210717,210,102,2.008888888888889,"3,227",cone_3,eps=>5;rho210=102,10+102i,-12.482982798644294,0.5834790126682732,4.9847520487513695
1364,682,27,19.865087542509414,19,8,>5,1.6008233383198935,210,104,1.149425287356322,"11,31",shell_other,eps=>5;rho210=104,8+104i,-5.061400191910727,16.151481944638945,5.090051430971883
1366,683,27,17.326347985414362,17,10,>5,2.324004391524993,210,106,1.0014684287812041,683,shell_other,eps=>5;rho210=106,10+106i,-4.93830580995288,15.852202130053056,5.731190153804812
1368,684,48,36.676066022124054,36,12,>5,1.8698464997163822,210,108,2.1176470588235294,"3,19",cone_3,eps=>5;rho210=108,12+108i,-12.783564047385706,-0.6105318147023739,5.278104791868673
1370,685,28,23.28797917067125,23,5,5,0.9764304165823184,210,110,1.3432098765432097,"5,137",ring_5,eps=5;rho210=110,5+110i,2.5050182849363583,-0.5267837341256026,4.142484513905959
1372,686,27,20.827027996139357,20,7,>5,1.35263511252672,210,112,1.2,7,shell_other,eps=>5;rho210=112,7+112i,-4.988432916167619,14.939675851217851,4.878432857775991
1374,687,47,34.90137487422355,34,13,>5,2.0479283242156163,210,114,2.0088105726872247,"3,229",cone_3,eps=>5;rho210=114,13+114i,-12.280862263396392,-1.7334078439355454,5.461888522386211
1376,688,23,17.816641803556433,17,6,>5,1.2279998039005326,210,116,1.024390243902439,43,shell_other,eps=>5;rho210=116,6+116i,-4.686963328957247,14.399209578008595,4.65774069625632
1378,689,27,19.365930998206203,19,8,>5,1.7347499794589365,210,118,1.1122994652406415,"13,53",shell_other,eps=>5;rho210=118,8+118i,-4.648478420910567,14.094873892946419,5.216466171128313
1380,690,61,48.69051632582405,48,13,>5,1.7640774428502788,210,120,2.7936507936507935,"3,5,23",mobius_3x5,eps=>5;rho210=120,13+120i,14.351269111265882,-1.7571361868733872,-1.7457902249035708
1382,691,20,17.47258312730826,17,3,3,0.6046420162521517,210,122,1.0014513788098693,691,shell_other,eps=3;rho210=122,3+122i,-4.3059048137033935,13.59914376606393,4.026993799969765
1384,692,24,17.56766109782266,17,7,>5,1.534659194671562,210,124,1.0058479532163742,173,shell_other,eps=>5;rho210=124,7+124i,-4.15655647667901,13.344690769753962,4.96140412026805
1386,693,59,46.62341499016418,46,13,>5,1.812586699097193,210,126,2.6666666666666665,"3,7,11",cone_3,eps=>5;rho210=126,13+126i,-12.739743300764317,-4.896710135844501,5.237876389924557
1388,694,20,17.55276234532106,17,3,3,0.5841217934426363,210,128,1.0028985507246377,347,shell_other,eps=3;rho210=128,3+128i,-3.8059043313343053,12.87061524158196,4.012945828706563
1390,695,30,23.53088316005366,23,7,>5,1.3336009045288593,210,130,1.343065693430657,"5,139",ring_5,eps=>5;rho210=130,7+130i,3.406689110162915,-2.406240861821452,4.429245079158929
1392,696,44,36.37618254446504,36,8,>5,1.2640490562286957,210,132,2.074074074074074,"3,29",cone_3,eps=>5;rho210=132,8+132i,-10.633660101283365,-4.846428506647863,4.694966762052325
1394,697,24,19.207384806621622,19,5,5,1.0935494879833587,210,134,1.094017094017094,"17,41",shell_other,eps=5;rho210=134,5+134i,-3.2317572694101866,12.187315906858776,4.58012793965985
