time,x,symbol,is_head,state,transition_code,residue,prime,exponent,scale_level,term_value,term_log10
8,5,0,0,,,1,8971,6,4,521248886281619407777321,23.71704514005421
9,-12,0,0,,,1,9001,6,4,531795392429581215054001,23.72574457020676
9,-11,0,0,,,1,9091,6,4,564507799336302842606041,23.751669946589278
9,-10,0,0,,,1,9151,6,4,587234188552586317142401,23.76881133210472
9,-9,0,0,,,1,9181,6,4,598880158003203067981081,23.77733992435075
9,-8,0,0,,,1,9241,6,4,622750122252683137999441,23.794313821465327
9,-7,0,0,,,1,9391,6,4,685916173333681899567841,23.836271043282398
9,-6,0,0,,,1,9421,6,4,699168772380708026462521,23.844582022764786
9,-5,0,0,,,1,9511,6,4,740213650944089435428561,23.869357090047156
9,-4,0,0,,,1,9601,6,4,783247140734240102457601,23.89389881815239
9,-3,1,0,,,7,787,7,4,186992042977909461883,20.271823126513453
9,-2,0,0,,,1,9631,6,4,798046683599712877001281,23.90202829716118
9,-1,0,1,A,R,11,191,10,4,64615048177878503606401,22.810333672477274
9,0,1,0,,,7,877,7,4,399022287095641845253,20.600997153562282
9,1,1,0,,,7,907,7,4,504953061238644082243,20.70325100942067
9,2,0,0,,,1,9661,6,4,813078528765055185711961,23.910132492657212
9,3,0,0,,,1,9721,6,4,843850785092213099794321,23.926265658781837
9,4,0,0,,,1,9781,6,4,875587501091220325024681,23.9422995534374
9,5,0,0,,,1,9811,6,4,891825024180616336170361,23.950279654278535
10,-12,0,0,,,1,9871,6,4,925053629465546674722721,23.966166911448006
10,-11,0,0,,,1,9901,6,4,942050887539748950209401,23.974074363069732
10,-10,0,0,,,1,9931,6,4,959307613726947537223081,23.981957891344234
10,-9,0,0,,,1,10111,6,4,1068475731343466807612161,24.02876466233227
10,-8,0,0,,,1,10141,6,4,1087638810652949750034841,24.036484696296565
10,-7,0,0,,,1,10321,6,4,1208733804977596262557921,24.082330668306376
10,-6,0,0,,,1,10501,6,4,1340861591911591653813001,24.127383950878215
10,-5,0,0,,,1,10531,6,4,1364010384178642377766681,24.134817676606616
10,-4,0,0,,,1,10651,6,4,1459964541529803287651401,24.164342308109816
10,-3,1,0,,,7,937,7,4,634128301193131823833,20.802177136214446
10,-2,0,0,,,1,10711,6,4,1510011016855000222595761,24.17898011586395
10,-1,1,0,,,7,967,7,4,790651899389404340023,20.89798531858101
10,0,1,1,B,L,13,163,11,4,2158060662623960090407387,24.334063648443536
10,1,1,0,,,7,997,7,4,979188057829902100813,20.99086610818159
10,2,0,0,,,1,10771,6,4,1561479026863794949968121,24.19353615534272
10,3,0,0,,,1,10831,6,4,1614400691835316238088481,24.208011335005445
10,4,0,0,,,1,10861,6,4,1641416830361158214279161,24.215218882173318
10,5,0,0,,,1,10891,6,4,1668808673331267504876841,24.222406548255346
11,-12,0,0,,,1,11071,6,4,1841285379047228252449921,24.265121104604184
11,-11,0,0,,,1,11131,6,4,1901976280266076845110281,24.279205096505816
11,-10,0,0,,,1,11161,6,4,1932941225807534398170961,24.286218648805825
11,-9,0,0,,,1,11251,6,4,2028367989322912054755001,24.307146748114192
11,-8,0,0,,,1,11311,6,4,2094141456326373200379361,24.321006014318492
11,-7,0,0,,,1,11491,6,4,2302220665077091309900441,24.362146947891695
11,-6,0,0,,,1,11551,6,4,2375294718707021822356801,24.37571750312605
11,-5,0,0,,,1,11701,6,4,2566479951705535813420201,24.4093378760787
11,-4,0,0,,,1,11731,6,4,2606214812245721659253881,24.416010208739635
11,-3,1,0,,,7,1087,7,4,1793109488137233550783,21.25360680860406
11,-2,0,0,,,1,11821,6,4,2728508455637373296716921,24.435925303998204
11,-1,1,1,C,L,13,193,12,4,2671084997624767126594464001,27.426687708093286
11,0,0,0,,,1,11941,6,4,2898973130463827391005641,24.462244190054765
11,1,1,0,,,7,1117,7,4,2169562730596120989973,21.336372211809262
11,2,0,0,,,1,11971,6,4,2942947975282410752095321,24.468782584815386
11,3,0,0,,,1,12211,6,4,3315182089673957047304761,24.52050738745234
11,4,0,0,,,1,12241,6,4,3364351685846503592617441,24.526901387613176
11,5,0,0,,,1,12301,6,4,3464515518466761109423801,24.539642510991808
12,-12,0,0,,,1,12391,6,4,3619412999452773977685841,24.55863814186744
12,-11,0,0,,,1,12421,6,4,3672310299496216201280521,24.56493937069514
12,-10,0,0,,,1,12451,6,4,3725850276224455541362201,24.571225398730913
12,-9,0,0,,,1,12511,6,4,3834883230737451924346561,24.583752144551376
12,-8,0,0,,,1,12541,6,4,3890388807256571308929241,24.589993007086107
12,-7,0,0,,,1,12601,6,4,4003409997649633901475601,24.602430069395332
12,-6,0,0,,,1,12721,6,4,4237673725694169661612321,24.627127515709972
12,-5,0,0,,,1,12781,6,4,4359021479796679412242681,24.639389009080585
12,-4,0,0,,,1,12841,6,4,4483251225201336579941041,24.6515930758414
12,-3,1,0,,,7,1237,7,4,4431879027673573392733,21.646587897403844
12,-2,0,1,D,R,11,251,13,4,15694893723203911415883379878251,31.195758379253494
12,-1,1,0,,,7,1297,7,4,6174187761975377561713,21.79057983258856
12,0,0,0,,,1,13171,6,4,5220504789232278693422521,24.71771249851545
12,1,1,0,,,7,1327,7,4,7245968805874891233103,21.86009646005105
12,2,0,0,,,1,13291,6,4,5512466307140337957771241,24.741345948023696
12,3,0,0,,,1,13381,6,4,5740258154506444830086281,24.75893142420225
12,4,0,0,,,1,13411,6,4,5817909684021159499671961,24.764766975069225
12,5,0,0,,,1,13441,6,4,5896434608306763946064641,24.77058948655948
13,-12,0,0,,,1,13591,6,4,6302436444618753540533041,24.799508474833917
13,-11,0,0,,,1,13681,6,4,6557028289464492699058081,24.816707057378856
13,-10,0,0,,,1,13711,6,4,6643772995219291139513761,24.82241478503645
13,-9,0,0,,,1,13831,6,4,7000377946053584509806481,24.845121487936336
13,-8,0,0,,,1,13921,6,4,7278176794114688489939521,24.862022600820964
13,-7,0,0,,,1,14011,6,4,7565102182128338070055561,24.87881479843122
13,-6,0,0,,,1,14071,6,4,7761573566857705505767921,24.889949778232904
13,-5,0,0,,,1,14221,6,4,8271434186534802643771321,24.917580818536354
13,-4,0,0,,,1,14251,6,4,8376682224620434452273001,24.92307204048579
13,-3,1,0,,,7,1447,7,4,13282496735194661464663,22.123279717833263
13,-2,1,0,,,7,1567,7,4,23199732388265655129823,22.36548297528013
13,-1,1,1,D,R,13,223,14,4,752087001408534719216214439862209,32.87626808267425
13,0,0,0,,,1,14281,6,4,8483043908417732957101681,24.92855171492506
13,1,1,0,,,7,1597,7,4,26493199691087104482613,22.42313441296938
13,2,0,0,,,1,14341,6,4,8699145900788657655500041,24.93947661482744
13,3,0,0,,,1,14401,6,4,8919816135141706790486401,24.95035590232272
13,4,0,0,,,1,14431,6,4,9031888346311405044550081,24.955778560130312
13,5,0,0,,,1,14461,6,4,9145131542523878567180761,24.96118995669941
14,-12,0,0,,,1,14551,6,4,9491985022879822446874801,24.977357044285526
14,-11,0,0,,,1,14731,6,4,10218646535015896131971881,25.009393377080524
14,-10,0,0,,,1,14821,6,4,10599003697348127767534921,25.02526504365348
14,-9,0,0,,,1,14851,6,4,10728381004703716084176601,25.030534188529426
14,-8,0,0,,,1,15031,6,4,11532600523386960886093681,25.061927248804864
14,-7,0,0,,,1,15061,6,4,11671397252398278562464361,25.067122851133803
14,-6,0,0,,,1,15091,6,4,11811583232420190174842041,25.072308114634613
14,-5,0,0,,,1,15121,6,4,11953169565541230017466721,25.077483080372453
14,-4,0,0,,,1,15241,6,4,12533742800641175517235441,25.09808077849158
14,-3,1,0,,,7,1627,7,4,30179557694776570150003,22.47971287055801
14,-2,1,0,,,7,1657,7,4,34297112573951451001993,22.535257558935356
14,-1,0,0,,,1,15271,6,4,12682499764147161250695121,25.103204862912992
14,0,0,1,A,R,11,281,10,4,3069468628627004928970801,24.487063199050798
14,1,1,0,,,7,1747,7,4,49664988000744615365563,22.696050334880518
14,2,0,0,,,1,15331,6,4,12984430372113184146915481,25.11342290185332
14,3,0,0,,,1,15361,6,4,13137627229877041496156161,25.118516934932853
14,4,0,0,,,1,15391,6,4,13292327379748069525803841,25.123601029075765
14,5,0,0,,,1,15451,6,4,13606284737408685246880201,25.133739555158392
15,-12,0,0,,,1,15511,7,5,216012351632710386932916605671,29.334478584912787
15,-11,0,0,,,1,15541,7,5,218953919091767048552284672381,29.340352723105198
15,-10,0,0,,,1,15601,7,5,224940190167873720975670669201,29.35206705796454
15,-9,0,0,,,1,15661,7,5,231066202512535148520621617221,29.363736426934246
15,-8,0,0,,,1,15901,7,5,257022452359946286847574121301,29.40997106305938
15,-7,0,0,,,1,15991,7,5,267380273348565227572092609031,29.42712936294134
15,-6,0,0,,,1,16111,7,5,281745821305954378224033321871,29.449857483556748
15,-5,0,0,,,1,16141,7,5,285438836600903668422522644581,29.455513062590796
15,-4,0,0,,,1,16231,7,5,296767914153121312781667279511,29.47241694425014
15,-3,1,0,,,7,1777,8,5,99425875171173083618628481,25.997499422442413
15,-2,1,0,,,7,1867,8,5,147623175655493402509887841,26.169154543592626
15,-1,0,0,,,1,16381,7,5,316506674045401191288485427061,29.500382872238145
15,0,1,0,,,7,1987,8,5,242986942798520335447458721,26.38558293687852
15,1,1,1,B,L,13,283,12,5,263898685087308495981516810961,29.421437226291484
15,2,0,0,,,1,16411,7,5,320586565135416882109850849971,29.505945318361828
15,3,0,0,,,1,16561,7,5,341669254590592421709748781521,29.533605900184767
15,4,0,0,,,1,16651,7,5,354880589333587250815889914051,29.550082245682187
15,5,0,0,,,1,16741,7,5,368527392891419963801279736781,29.566469774798694
16,-12,0,0,,,1,16831,7,5,382621561662391362276608539711,29.582769439938918
16,-11,0,0,,,1,16921,7,5,397175250631431266272767012841,29.598982178269765
16,-10,0,0,,,1,16981,7,5,407139120230842460707734967261,29.609742833856004
16,-9,0,0,,,1,17011,7,5,412200877562981355784354246171,29.615108912043763
16,-8,0,0,,,1,17041,7,5,417316479633843864496027952881,29.620465535137605
16,-7,0,0,,,1,17191,7,5,443718955742044654906281353431,29.647107982239934
16,-6,0,0,,,1,17341,7,5,471540465242564309543515948981,29.673518967651255
16,-5,0,0,,,1,17401,7,5,483080435478768714043198081801,29.68401944912869
16,-4,0,0,,,1,17431,7,5,488940621494298287555992919911,29.689256120221412
16,-3,1,0,,,7,2017,8,5,273934786278325916122525441,26.437647185702122
16,-2,1,0,,,7,2137,8,5,434946837378063635510608321,26.638436177312556
16,-1,0,0,,,1,17491,7,5,500844003585448484446840489531,29.69970247849871
16,0,1,1,C,L,13,313,13,5,276742836588297080874770702008153,32.44207638810383
16,1,0,0,,,1,17551,7,5,512994918905767201728785050351,29.71011306354824
16,2,0,0,,,1,17581,7,5,519164535111220301189567627461,29.715305017514268
16,3,0,0,,,1,17761,7,5,557534696923677605346927253921,29.746271899906027
16,4,0,0,,,1,17791,7,5,564160295052761172721944405631,29.751402517752936
16,5,0,0,,,1,17851,7,5,577614184825886985837254322451,29.76163784992856
17,-12,0,0,,,1,17881,7,5,584443620256590483436627627561,29.76674262226871
17,-11,0,0,,,1,17911,7,5,591342151678801827840330190471,29.77183883720821
17,-10,0,0,,,1,17971,7,5,605348832723590474792692569691,29.782005709311473
17,-9,0,0,,,1,18061,7,5,626891741177565152861916322021,29.797192548376785
17,-8,0,0,,,1,18121,7,5,641615907125220608430504429241,29.807275122562686
17,-7,0,0,,,1,18181,7,5,656635513912161895486543407661,29.81732436770034
17,-6,0,0,,,1,18211,7,5,664257643695986747961994398571,29.82233656059212
17,-5,0,0,,,1,18301,7,5,687580809811831633457577818101,29.837323747146588
17,-4,0,0,,,1,18451,7,5,728013381314262130204469206651,29.86213936197449
17,-3,1,0,,,7,2287,8,5,748392310921932412056097921,26.87412931685399
17,-2,1,0,,,7,2347,8,5,920671536683947147698660961,26.96410471678874
17,-1,0,1,D,R,11,311,14,5,79185460443274071484794939191083441,34.898645446375724
17,0,1,0,,,7,2377,8,5,1019139076293882450448322881,27.008233453825444
17,1,0,0,,,1,18481,7,5,736339789833505866493384967761,29.867078269223438
17,2,0,0,,,1,18541,7,5,753237749870825013458265733381,29.87693207734272
17,3,0,0,,,1,18661,7,5,788032973791178352840017798221,29.896544390124006
17,4,0,0,,,1,18691,7,5,796943921334037048403224833931,29.90142776240986
17,5,0,0,,,1,19051,7,5,910802972199568940696519210851,29.959424439167265
18,-12,0,0,,,1,19081,7,5,920890347311090610414125427961,29.964207920758398
18,-11,0,0,,,1,19141,7,5,941352678815568796860699305581,29.973752362819297
18,-10,0,0,,,1,19231,7,5,972776510203404551386404780511,29.988013075074004
18,-9,0,0,,,1,19381,7,5,1027148581843199828856164328061,30.01163327086819
18,-8,0,0,,,1,19441,7,5,1049615418858397608153725761681,30.02103020186765
18,-7,0,0,,,1,19471,7,5,1061005896371239069506706190191,30.025717797430442
18,-6,0,0,,,1,19501,7,5,1072502161493238380466110386501,30.03039817612356
18,-5,0,0,,,1,19531,7,5,1084105031701119515782912820611,30.035071360134562
18,-4,0,0,,,1,19681,7,5,1143747425233040056511409008161,30.05833012940601
18,-3,1,0,,,7,2437,8,5,1244068327140090679571927521,27.094844233477794
18,-2,1,0,,,7,2467,8,5,1371997107953171432124078241,27.13735319591789
18,-1,1,0,,,7,2557,8,5,1827451350493121897595972001,27.261845824210685
18,0,1,1,D,R,13,373,15,5,376385147233014237086678919693555955357,38.57563247713031
18,1,0,0,,,1,19801,7,5,1193465492339789810627952978601,30.076809866406812
18,2,0,0,,,1,19861,7,5,1219011435823033938901874110621,30.086007779852626
18,3,0,0,,,1,19891,7,5,1231959190432875279000005658331,30.09059632173802
18,4,0,0,,,1,20011,7,5,1284936138657700833076438027171,30.10888154376244
18,5,0,0,,,1,20071,7,5,1312148766632044149683269098391,30.117983076552377
19,-12,0,0,,,1,20101,7,5,1325939306110945844243019350701,30.122523645015683
19,-11,0,0,,,1,20161,7,5,1353893450616223743551257638721,30.131584487369647
19,-10,0,0,,,1,20341,7,5,1440807958304451130910483809981,30.15860609864418
19,-9,0,0,,,1,20431,7,5,1486029279781210857139161620911,30.172027366572696
19,-8,0,0,,,1,20521,7,5,1532461747186710429588464702041,30.1853896426077
19,-7,0,0,,,1,20551,7,5,1548213017593732094652972871351,30.18983071474536
19,-6,0,0,,,1,20611,7,5,1580132272144054974329088143371,30.19869344306699
19,-5,0,0,,,1,20641,7,5,1596302290899880364131529386081,30.203115136913485
19,-4,0,0,,,1,20731,7,5,1645666245872716278147052781011,30.216341761451552
19,-3,1,0,,,7,2617,8,5,2200035968176880824472475841,27.342429781119048
19,-2,1,0,,,7,2647,8,5,2410080397675786131457412161,27.382031530410785
19,-1,1,0,,,7,2677,8,5,2637466605561608947680010081,27.421186969495462
19,0,0,0,,,1,21001,7,5,1801688989619928159144261147001,30.255679824518065
19,1,0,1,A,R,11,401,11,5,43111000196969091338568804401,28.634588098822004
19,2,0,0,,,1,21031,7,5,1819782413581313229392964721111,30.260019463682823
19,3,0,0,,,1,21061,7,5,1838031359921207190516334903021,30.264352916911108
19,4,0,0,,,1,21121,7,5,1875000275709864545886072570241,30.27300133592468
19,5,0,0,,,1,21211,7,5,1931648084488837284748589379571,30.28592800774935
20,-12,0,0,,,1,21391,7,5,2049356974134372081206364238831,30.311617614034958
20,-11,0,0,,,1,21481,7,5,2110481092655587199548118468761,30.324381465757366
20,-10,0,0,,,1,21601,7,5,2194406082480930363865157911201,30.341316998380762
20,-9,0,0,,,1,21661,7,5,2237430306984785811875191979221,30.34974951649596
20,-8,0,0,,,1,21751,7,5,2303321697768181183898293839751,30.362354598758223
20,-7,0,0,,,1,21841,7,5,2370869403203284105776209490481,30.37490763199158
20,-6,0,0,,,1,21871,7,5,2393759330304347833796320542991,30.37908048409256
20,-5,0,0,,,1,21961,7,5,2463569300874860454870672187321,30.391564783604725
20,-4,0,0,,,1,21991,7,5,2487223714401434713387801131031,30.39571484982984
20,-3,1,0,,,7,2707,8,5,2883407648746242961444173601,27.45990604616405
20,-2,1,0,,,7,2767,8,5,3436159170662819834224813441,27.536073273127617
20,-1,1,0,,,7,2797,8,5,3745758131415255229165097761,27.573539730972218
20,0,0,0,,,1,22051,7,5,2535117100386479616056896031851,30.40399802476486
20,1,1,0,,,7,2857,8,5,4438967067869439239889115201,27.647281923061943
20,2,0,1,B,L,11,431,11,5,95334473350473334338476729231,28.97924997176805
20,3,0,0,,,1,22111,7,5,2583798799204181362221412083871,30.412258692063972
20,4,0,0,,,1,22171,7,5,2633279594182324157753237847091,30.420496973714492
20,5,0,0,,,1,22291,7,5,2734682195305212698865476747131,30.4369068630845
