N,n,r,h,h_floor,eps_h,z_h,boost_G,delta10,rho30,fake_mirror,h_mirror,root_decimal,root_native,native_core,eps_bucket,native_cluster,z_N,pair_fiber_size
1068,534,39,29.329732360068842,29,10,1.785601096915392,2.0229885057471266,678,18,39|678|39,39|10|39,10|678|10,10|18|10,"39|(18,10)|39",>5,eps=>5;rho30=18,10+18i,39
1074,537,40,29.277024544015603,29,11,1.981763582970328,2.0112994350282487,674,24,40|674|40,40|11|40,11|674|11,11|24|11,"40|(24,11)|40",>5,eps=>5;rho30=24,11+24i,40
1080,540,54,38.971340473113756,38,16,2.40739621595703,2.6666666666666665,540,0,54|540|54,54|16|54,16|540|16,16|0|16,"54|(0,16)|54",>5,eps=>5;rho30=0,16,54
1086,543,39,29.508251195306205,29,10,1.747328257699897,2.011173184357542,696,6,39|696|39,39|10|39,10|696|10,10|6|10,"39|(6,10)|39",>5,eps=>5;rho30=6,10+6i,39
1098,549,40,30.076780556732405,30,10,1.8094097322323959,2.0338983050847457,698,18,40|698|40,40|10|40,10|698|10,10|18|10,"40|(18,10)|40",>5,eps=>5;rho30=18,10+18i,40
1104,552,44,31.104727544684962,31,13,2.312157007930056,2.0952380952380953,664,24,44|664|44,44|13|44,13|664|13,13|24|13,"44|(24,13)|44",>5,eps=>5;rho30=24,13+24i,44
1110,555,54,40.876948879668596,40,14,2.0525586930845567,2.7428571428571424,570,0,54|570|54,54|14|54,14|570|14,14|0|14,"54|(0,14)|54",>5,eps=>5;rho30=0,14,54
1116,558,41,30.952964170922602,30,11,1.8058714352718077,2.0689655172413794,706,6,41|706|41,41|11|41,11|706|11,11|6|11,"41|(6,11)|41",>5,eps=>5;rho30=6,11+6i,41
1128,564,39,30.820977884928514,30,9,1.4732558543384755,2.0444444444444443,738,18,39|738|39,39|9|39,9|738|9,9|18|9,"39|(18,9)|39",>5,eps=>5;rho30=18,9+18i,39
1134,567,49,36.318751672610745,36,13,2.1042461958111045,2.4,644,24,49|644|49,49|13|49,13|644|13,13|24|13,"49|(24,13)|49",>5,eps=>5;rho30=24,13+24i,49
1140,570,58,42.889634818006705,42,16,2.307271948992193,2.8235294117647056,560,0,58|560|58,58|16|58,16|560|16,16|0|16,"58|(0,16)|58",>5,eps=>5;rho30=0,16,58
1146,573,38,30.655899230970206,30,8,1.3264216360839636,2.0105820105820107,766,6,38|766|38,38|8|38,8|766|8,8|6|8,"38|(6,8)|38",>5,eps=>5;rho30=6,8+6i,38
1158,579,42,30.883786404533016,30,12,2.0002837783099072,2.0104712041884816,738,18,42|738|42,42|12|42,12|738|12,12|18|12,"42|(18,12)|42",>5,eps=>5;rho30=18,12+18i,42
1164,582,43,31.161520948923517,31,12,2.1207358919664587,2.0210526315789474,734,24,43|734|43,43|12|43,12|734|12,12|24|12,"43|(24,12)|43",>5,eps=>5;rho30=24,12+24i,43
1170,585,58,45.01931158141313,45,13,1.9346317044668162,2.9090909090909087,590,0,58|590|58,58|13|58,13|590|13,13|0|13,"58|(0,13)|58",>5,eps=>5;rho30=0,13,58
1176,588,49,37.2773988874585,37,12,1.9199998154673228,2.4,686,6,49|686|49,49|12|49,12|686|12,12|6|12,"49|(6,12)|49",>5,eps=>5;rho30=6,12+6i,49
