time,source_state,read_symbol,write_symbol,move,next_state,source_head,next_head,local_word,plaquette_residues,plaquette_sum,plaquette_sum_mod,plaquette_power_sum,plaquette_power_sum_mod,rule_residue,rule_code
91,B,1,0,L,C,-7,-8,111,"7,13,7,13",83020,10,133899376862860,10,26,B1->0LC
92,C,1,1,L,D,-8,-9,010,"1,13,1,11",179936,26,688239330887992,22,10,C1->1LD
93,D,0,1,R,D,-9,-8,001,"1,11,7,13",133172,2,164944770319306,16,24,D0->1RD
94,D,1,0,R,A,-8,-7,110,"7,13,1,11",134762,2,712331749411738,28,25,D1->0RA
95,A,0,1,R,B,-7,-6,001,"1,11,7,13",136382,2,186900872665156,16,3,A0->1RB
96,B,1,0,L,C,-6,-7,110,"7,13,1,13",138814,4,837894045281458,28,8,B1->0LC
97,C,1,1,L,D,-7,-8,010,"1,13,1,11",185846,26,756617125060762,22,10,C1->1LD
98,D,0,1,R,D,-8,-7,101,"7,11,7,13",94748,8,213892438427722,22,0,D0->1RD
99,D,1,0,R,A,-7,-6,110,"7,13,1,11",143072,2,801922701774148,28,25,D1->0RA
100,A,0,1,R,B,-6,-5,000,"1,11,1,11",189294,24,818751029139604,4,5,A0->1RB
101,B,0,1,L,A,-5,-6,101,"7,11,7,13",100658,8,236590640031682,22,3,B0->1LA
102,A,1,1,L,B,-6,-7,011,"1,13,7,11",147032,2,146098126387594,4,14,A1->1LB
103,B,0,1,L,A,-7,-8,101,"7,11,7,13",104138,8,257826298739392,22,3,B0->1LA
104,A,1,1,L,B,-8,-9,111,"7,13,7,13",106780,10,268494703338070,10,0,A1->1LB
105,B,1,0,L,C,-9,-10,011,"1,13,7,11",151202,2,166344702481924,4,10,B1->0LC
106,C,0,1,R,H,-10,-9,000,"1,11,1,11",194694,24,897085351554124,4,2,C0->1RH
