N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
44,22,3,2.2537969378580156,2,1,0.4970494924273972,14,1.1111111111111112,11,shell_other,1+14i,-5.94036229395515,17.262662984277352,-0.18372728232141983
46,23,4,2.170312326902134,2,2,1.2419835498389473,16,1.0476190476190477,23,shell_other,2+16i,-5.885237885787718,14.749054070386814,0.6314055826653628
48,24,5,4.22892700481598,4,1,0.3749560789114605,18,2.0,3,cone_3,1+18i,-9.382995458002629,-2.4578900722878836,-0.1708513148069089
50,25,4,2.8757845201992804,2,2,0.6629356742818617,20,1.3333333333333333,5,ring_5,2+20i,3.3103301350314682,-4.658644861712413,0.008909076434018226
52,26,3,2.398693004243832,2,1,0.38824772742783176,22,1.0909090909090908,13,shell_other,1+22i,-0.6350130353244043,9.95825454874154,-0.05134742823793875
54,27,5,4.480738074014569,4,1,0.24530799401111672,24,2.0,3,cone_3,1+24i,-4.6778972588501135,-4.069013840891284,-0.1345531312462944
56,28,3,2.7378648964741608,2,1,0.15842334400292507,26,1.2,7,shell_other,1+26i,4.14238260005355,11.399418043169838,-0.1811529408909841
58,29,4,2.408384495985236,2,2,1.0255934761104004,28,1.037037037037037,29,shell_other,2+28i,5.509134245438471,13.547175402715196,0.7446886038695162
60,30,6,6.300885782362677,6,0,-0.11986733867373724,0,2.6666666666666665,"3,5",mobius_3x5,0,24.088736128922154,0.0,1.3085878622258462
62,31,3,2.4858111205354247,2,1,0.3261283975231844,2,1.0344827586206897,31,shell_other,1+2i,5.510146995751589,18.45327550277526,0.13984485884386816
64,32,5,2.4427383572409087,2,3,1.6362011311064097,4,1.0,,spine_none,3+4i,-18.09365856578098,0.2676522425435433,6.544804524425639
66,33,6,5.516013898630787,5,1,0.20607258277810298,6,2.2222222222222223,"3,11",cone_3,1+6i,-4.508704941417258,4.589734250870911,0.10893938107802908
68,34,2,2.6894561553011433,2,0,-0.4204113370275332,8,1.0666666666666667,17,shell_other,8i,-0.6341126299091413,22.033178665981143,-0.47609617683286537
70,35,5,4.096360324484109,4,1,0.44647404335662316,10,1.5999999999999999,"5,7",ring_5,1+10i,3.4944111791232415,4.339807140635143,0.3206235853042374
72,36,6,5.197592186439306,5,1,0.351960599360202,12,2.0,3,cone_3,1+12i,-9.652590979672045,2.6537626841405064,0.37741901914968917
74,37,5,2.7124323498889487,2,3,1.3889751906895231,14,1.0285714285714285,37,shell_other,3+14i,-5.896496562553604,17.2533390352355,1.4533414857222615
76,38,5,2.8324658999240024,2,3,1.2879043010588385,16,1.0588235294117647,19,shell_other,3+16i,-5.925573395131787,14.74048049320743,1.390535248969264
78,39,7,5.9189747729477284,5,2,0.44433710831798484,18,2.1818181818181817,"3,13",cone_3,2+18i,-9.969156701246103,-2.883761143772762,0.582568887886425
80,40,4,3.667153580254382,3,1,0.17381183337306555,20,1.3333333333333333,5,ring_5,1+20i,3.5681969903480844,-4.212006366716022,0.3042612903327516
82,41,5,2.8590968872600597,2,3,1.2661424721958687,22,1.0256410256410255,41,shell_other,3+22i,-0.629469887628906,10.010994076140097,1.4757265231817922
84,42,8,6.779120309310647,6,2,0.46890644128319603,24,2.4,"3,7",cone_3,2+24i,-4.340624931564966,-5.10703133012157,0.7115500436033984
86,43,5,2.931204614391407,2,3,1.2083547984324383,26,1.024390243902439,43,shell_other,3+26i,4.026843037232676,11.527737727596595,1.485271990305273
88,44,4,3.2199641128852936,3,1,0.434699427299714,28,1.1111111111111112,11,shell_other,1+28i,5.575408409776197,13.517668243657187,0.7485929251529625
90,45,9,7.824801933209948,7,2,0.4201210011768432,0,2.6666666666666665,"3,5",mobius_3x5,2,23.810541804204863,0.0,2.3503534418007024
92,46,4,3.1118675901994046,3,1,0.5034625416058501,2,1.0476190476190477,23,shell_other,1+2i,5.514213736631775,18.455086132470836,0.8772206104358671
94,47,5,3.0731357181466548,3,2,1.099158331509445,4,1.0222222222222221,47,shell_other,2+4i,4.020638323386067,20.46537123955443,1.5017594483814374
96,48,7,6.084068501674204,6,1,0.3713350525166955,6,2.0,3,cone_3,1+6i,-4.531771526682997,4.518742601139696,0.8021130173530809
98,49,3,3.6930501354294987,3,0,-0.36063846924139525,8,1.2,7,shell_other,8i,-0.6461704622680325,22.147901277571552,0.1145179417712201
100,50,6,4.15047467963822,4,2,0.9078443538038906,10,1.3333333333333333,5,ring_5,2+10i,3.68966986496853,4.001609176131973,1.1691759446302954
