N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
102,51,8,6.715694373904382,6,2,2,0.4955904435444276,12,2.1333333333333333,"3,17",shell_other,eps=2;rho30=12,2+12i,1.3328912795974324,1.8412639051397315,1.466927957488196
104,52,5,3.472280251623942,3,2,2,0.8198535990452865,14,1.0909090909090908,13,shell_other,eps=2;rho30=14,2+14i,0.9508773605951955,0.8607704672570957,2.168673410962094
106,53,6,3.280777783926744,3,3,3,1.5012613093576335,16,1.0196078431372548,53,shell_other,eps=3;rho30=16,3+16i,0.5067604715564671,0.545297702228624,3.84523557846812
108,54,8,6.504545992012321,6,2,2,0.5863603111556281,18,2.0,3,cone_3,eps=2;rho30=18,2+18i,1.3086247328383227,-1.1582480337421261,1.6700282637520463
110,55,6,4.869168763693975,4,2,2,0.512472284181245,20,1.4814814814814814,"5,11",shell_other,eps=2;rho30=20,2+20i,0.3231381688203837,-1.5733648739045576,1.5121392690929176
112,56,7,3.9851250943752925,3,4,4,1.5102481681880373,22,1.2,7,shell_other,eps=4;rho30=22,4+22i,-1.3108376882641477,-1.0064305804433016,4.083665677584505
114,57,10,7.104754065607246,7,3,3,1.0862028446415077,24,2.1176470588235294,"3,19",shell_other,eps=3;rho30=24,3+24i,-1.954315398375173,-1.9040249410941805,2.9660610057791574
116,58,6,3.5144646606193355,3,3,3,1.3258376634725775,26,1.037037037037037,29,shell_other,eps=3;rho30=26,3+26i,-2.302142378826723,-0.5238721396108218,3.4932967474082828
118,59,6,3.482764674949436,3,3,3,1.3488440864833435,28,1.0175438596491229,59,shell_other,eps=3;rho30=28,3+28i,-2.715715446729213,0.09203150609700905,3.5487359100905684
120,60,12,9.216887855374091,9,3,3,0.9167239015783162,0,2.6666666666666665,"3,5",mobius_3x5,eps=3;rho30=0,3,-4.174384202092145,0.5500343409469897,2.607560575318604
122,61,4,3.548948260019124,3,1,1,0.23942887701793875,2,1.0169491525423728,61,shell_other,eps=1;rho30=2,1+2i,-1.9888052591543395,0.8678940323430001,0.7252277419907711
124,62,5,3.6446055172368927,3,2,2,0.709970738065514,4,1.0344827586206897,31,shell_other,eps=2;rho30=4,2+4i,-1.9284683634336983,1.7698759570784928,1.9600488240026395
126,63,10,8.535107035004438,8,2,2,0.5014197170300595,6,2.4,"3,7",shell_other,eps=2;rho30=6,2+6i,-1.6227139586276755,3.1015971346072337,1.5036004306108075
128,64,3,3.5893298310478654,3,0,0,-0.311065424268187,8,1.0,,spine_none,eps=0;rho30=8,8i,0.1868735814134394,1.5913441058723887,-0.6857431742705722
130,65,7,5.268694082348491,5,2,2,0.7542621628033549,10,1.4545454545454544,"5,13",shell_other,eps=2;rho30=10,2+10i,0.4221667235679387,2.399058752666969,2.065399466892257
132,66,9,8.122198601028472,8,1,1,0.3080062054633705,12,2.2222222222222223,"3,11",shell_other,eps=1;rho30=12,1+12i,1.9635162183042585,1.8643314007589251,0.8811290432564842
134,67,6,3.7443516285217795,3,3,3,1.1656900412317563,14,1.0153846153846153,67,shell_other,eps=3;rho30=14,3+14i,0.7531109122668604,1.0798377735389144,3.1817533922428654
136,68,5,3.968126612017768,3,2,2,0.5180046421294233,16,1.0666666666666667,17,shell_other,eps=2;rho30=16,2+16i,1.166587730779977,-0.08297569002003169,1.5489876515641594
138,69,8,7.862361769275674,7,1,1,0.04908655684881987,18,2.0952380952380953,"3,23",shell_other,eps=1;rho30=18,1+18i,1.923209314029223,-1.6152310515243689,0.3090392860823804
140,70,7,6.055580557333643,6,1,1,0.38378414256288484,20,1.5999999999999999,"5,7",shell_other,eps=1;rho30=20,1+20i,0.8722097708933075,-1.8659811962766053,1.053758848229906
142,71,8,3.872178859390792,3,5,5,2.0976989758846267,22,1.0144927536231885,71,shell_other,eps=5;rho30=22,5+22i,-1.483855481256076,-0.5919933404515472,5.67313691973002
144,72,11,7.697731182351797,7,4,4,1.1902304404802668,24,2.0,3,cone_3,eps=4;rho30=24,4+24i,-2.1853407410584844,-1.9080709080189031,3.4552367876133205
146,73,6,3.9354091945524763,3,3,3,1.0407323178694914,26,1.0140845070422535,73,shell_other,eps=3;rho30=26,3+26i,-2.2483341610886063,-0.7696093174275552,2.9249206641803185
148,74,5,4.024305819705915,4,1,1,0.4863716205436569,28,1.0285714285714285,37,shell_other,eps=1;rho30=28,1+28i,-2.064302751760251,-0.4808735379507778,1.2879891056628128
150,75,12,10.517797519101169,10,2,2,0.4570304465243755,0,2.6666666666666665,"3,5",mobius_3x5,eps=2;rho30=0,2,-3.8909180076150225,0.2742182679146253,1.4237155380142266
152,76,4,4.209581942903863,4,0,0,-0.1021490608687756,2,1.0588235294117647,19,shell_other,eps=0;rho30=2,2i,-1.7800162639594685,0.731224864509221,-0.22910642845923998
154,77,8,5.342864127810231,5,3,3,1.1495469078440441,4,1.3333333333333333,"7,11",shell_other,eps=3;rho30=4,3+4i,-2.4649302312951438,2.35336202546362,3.1816031722315343
156,78,11,8.811210290224777,8,3,3,0.7373713426981819,6,2.1818181818181817,"3,13",shell_other,eps=3;rho30=6,3+6i,-1.8706057801834692,3.242612723009342,2.2580603901605496
158,79,5,4.122541041751904,4,1,1,0.43215975258803707,8,1.0129870129870129,79,shell_other,eps=1;rho30=8,1+8i,-0.11759263814369372,2.1681654134639747,1.172974279704296
