N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
148,74,5,6.895802557184815,6,-1,-1,-0.7219393193650692,28,1.0285714285714285,37,shell_other,eps=-1;rho30=28,-1+28i,-1.8926949641834008,-1.4222359721805415,-1.8149423223765542
150,75,12,17.99950262856674,17,-5,-5,-1.4141158681824324,0,2.6666666666666665,"3,5",mobius_3x5,eps=-5;rho30=0,-5,-2.2678260022965677,-0.8484695209094594,-4.1675184833306815
152,76,4,7.1948917013005556,7,-3,-3,-1.19108844269377,2,1.0588235294117647,19,shell_other,eps=-3;rho30=2,-3+2i,-1.2952474609587117,0.29538203892919546,-3.27144912311242
154,77,8,9.120456384198086,9,-1,-1,-0.37101090091644223,4,1.3333333333333333,"7,11",shell_other,eps=-1;rho30=4,-1+4i,-1.5544743892881208,1.8617949976083243,-1.0332003785167063
156,78,11,15.02251094030607,15,-4,-4,-1.03782940021471,6,2.1818181818181817,"3,13",shell_other,eps=-4;rho30=6,-4+6i,0.17576827727529198,2.7789334889768207,-3.133673307594808
158,79,5,7.020106069644103,7,-2,-2,-0.7624341430353109,8,1.0129870129870129,79,shell_other,eps=-2;rho30=8,-2+8i,0.8921324039525893,1.9752347901179403,-2.1165615416503245
160,80,8,9.299609733001992,9,-1,-1,-0.4261677616564789,10,1.3333333333333333,5,ring_5,eps=-1;rho30=10,-1+10i,1.729279321753832,2.191776431256833,-1.160666113471241
162,81,10,14.038257207605836,14,-4,-4,-1.077798014625947,12,2.0,3,cone_3,eps=-4;rho30=12,-4+12i,4.052290159006138,1.3841611748968734,-3.232518774327578
164,82,5,7.244483938901591,7,-2,-2,-0.8338976981977076,14,1.0256410256410255,41,shell_other,eps=-2;rho30=14,-2+14i,3.0522802795644344,0.01566055115834608,-2.284303528622074
166,83,6,7.195186305811787,7,-1,-1,-0.44556860909780976,16,1.0123456790123457,83,shell_other,eps=-1;rho30=16,-1+16i,2.7277564649940556,-0.7811533458979885,-1.2080091279924434
168,84,13,17.16320761338065,17,-4,-4,-1.004913871504471,18,2.4,"3,7",shell_other,eps=-4;rho30=18,-4+18i,4.29773000253665,-2.8285683759409115,-3.076057536261489
170,85,9,10.232979773501333,10,-1,-1,-0.3854383241537386,20,1.422222222222222,"5,17",shell_other,eps=-1;rho30=20,-1+20i,1.7837036407744056,-2.789359394635039,-1.0739905201559248
172,86,6,7.415177012910254,7,-1,-1,-0.5196967539185177,22,1.024390243902439,43,shell_other,eps=-1;rho30=22,-1+22i,0.5669035391187687,-2.8036909801310945,-1.3797564566203773
174,87,11,15.103455332615027,15,-4,-4,-1.05587267914924,24,2.074074074074074,"3,29",shell_other,eps=-4;rho30=24,-4+24i,0.11308806346643352,-4.018571725567967,-3.199593723141339
176,88,7,8.139178200517767,8,-1,-1,-0.3993019095564918,26,1.1111111111111112,11,shell_other,eps=-1;rho30=26,-1+26i,-1.455549747563352,-2.1909951839852666,-1.108457892902177
178,89,7,7.453033178370529,7,0,0,-0.16594473652888175,28,1.0114942528735633,89,shell_other,eps=0;rho30=28,28i,-2.2906864169390606,-1.1194461437852279,-0.37795296491803143
180,90,14,19.763368988737902,19,-5,-5,-1.296420637209256,0,2.6666666666666665,"3,5",mobius_3x5,eps=-5;rho30=0,-5,-2.5277214879690506,-0.7778523823255535,-3.955866638966155
182,91,6,9.75800829125808,9,-3,-3,-1.2030318976682277,2,1.3090909090909089,"7,13",shell_other,eps=-3;rho30=2,-3+2i,-1.7348140960153735,0.44660041111415205,-3.34583594870432
184,92,8,7.853637787290986,7,1,1,0.052226813932893905,4,1.0476190476190477,23,shell_other,eps=1;rho30=4,1+4i,-2.0155975541148257,1.942382193385721,0.31932833632982316
186,93,13,15.598192007352695,15,-2,-2,-0.6578609554205953,6,2.0689655172413794,"3,31",shell_other,eps=-2;rho30=6,-2+6i,-0.5248954606755871,3.0260791915087775,-1.9046343775547179
188,94,5,7.7499287634638625,7,-2,-2,-0.9878081121113097,8,1.0222222222222221,47,shell_other,eps=-2;rho30=8,-2+8i,0.8501020841185147,1.9442454234387623,-2.661573031234109
190,95,8,10.76277772014441,10,-2,-2,-0.8421389598089646,10,1.4117647058823528,"5,19",shell_other,eps=-2;rho30=10,-2+10i,2.084104999134646,2.099242991024051,-2.3300005066668454
192,96,11,15.331349609884372,15,-4,-4,-1.1061984512931224,12,2.0,3,cone_3,eps=-4;rho30=12,-4+12i,4.034976070223976,1.428923595482579,-3.3376805332249093
194,97,7,7.788708299777516,7,0,0,-0.28260750538587354,14,1.0105263157894737,97,shell_other,eps=0;rho30=14,14i,2.497165181299277,0.3612243416275475,-0.6489519757419334
196,98,9,9.299207551212291,9,0,0,-0.09811820156614671,16,1.2,7,shell_other,eps=0;rho30=16,16i,2.7307443414691908,-0.6393085489622473,-0.2255268522478969
198,99,13,17.31326205301767,17,-4,-4,-1.0366123850373168,18,2.2222222222222223,"3,11",shell_other,eps=-4;rho30=18,-4+18i,4.177483976466954,-2.830957133674262,-3.184953113271238
200,100,8,10.443283695028038,10,-2,-2,-0.7560584277710759,20,1.3333333333333333,5,ring_5,eps=-2;rho30=20,-2+20i,2.0425377068133086,-3.0116182441252453,-2.1411198123012642
