time_index,N_start,N_end,rho30,state_label,cell_total,state_count,state_share,mean_z
10,2404,3603,24,+1.0,40,17,0.425,0.27868603190124264
10,2404,3603,26,-1.0,40,18,0.45,-0.4304707054615243
10,2404,3603,28,+1.0,40,17,0.425,0.7976988552917822
11,2644,3843,0,+0.0,40,28,0.7,-0.034096008937529766
11,2644,3843,2,-1.0,40,15,0.375,-0.6309001559908566
11,2644,3843,4,+1.0,40,15,0.375,0.5561581709450975
11,2644,3843,6,+1.0,40,19,0.475,0.35182462112768303
11,2644,3843,8,+0.0,40,17,0.425,-0.49457851784490847
11,2644,3843,10,+1.0,40,20,0.5,0.6989589797623283
11,2644,3843,12,+0.0,40,19,0.475,-0.20241727682010158
11,2644,3843,14,+0.0,40,17,0.425,0.17523434446843128
11,2644,3843,16,+1.0,40,20,0.5,1.009405678272883
11,2644,3843,18,+1.0,40,16,0.4,0.07984994136330423
11,2644,3843,20,+0.0,40,16,0.4,-0.37741303128309794
11,2644,3843,22,+1.0,40,18,0.45,0.6929047357635634
11,2644,3843,24,+0.0,40,17,0.425,0.2258488489244824
11,2644,3843,26,-1.0,40,15,0.375,-0.26276872724839867
11,2644,3843,28,+0.0,40,17,0.425,0.7631695969089234
12,2884,4083,0,+0.0,40,27,0.675,-0.08564744399310094
12,2884,4083,2,-1.0,40,15,0.375,-0.6316377742646342
12,2884,4083,4,+0.0,40,15,0.375,0.5071738578994376
12,2884,4083,6,+0.0,40,18,0.45,0.41820963292541496
12,2884,4083,8,+0.0,40,15,0.375,-0.5114415846152022
12,2884,4083,10,+1.0,40,20,0.5,0.6829707846486521
12,2884,4083,12,+0.0,40,20,0.5,-0.21343373028983453
12,2884,4083,14,+0.0,40,17,0.425,0.291598264872782
12,2884,4083,16,+1.0,40,20,0.5,0.8753440152698715
12,2884,4083,18,+1.0,40,16,0.4,0.08878875336875666
12,2884,4083,20,-1.0,40,15,0.375,-0.3696871473853076
12,2884,4083,22,+0.0,40,16,0.4,0.5690090886433877
12,2884,4083,24,+0.0,40,19,0.475,0.19361703793593615
12,2884,4083,26,+0.0,40,15,0.375,-0.16458983808689348
12,2884,4083,28,+0.0,40,17,0.425,0.7960679036829872
13,3124,4323,0,+0.0,40,28,0.7,0.03989297820660396
13,3124,4323,2,+0.0,40,18,0.45,-0.4833142901595524
13,3124,4323,4,+0.0,40,16,0.4,0.26239316439274774
13,3124,4323,6,+0.0,40,18,0.45,0.4054726995179778
13,3124,4323,8,+0.0,40,16,0.4,-0.43988980175774983
13,3124,4323,10,+1.0,40,18,0.45,0.5074756219539809
13,3124,4323,12,+0.0,40,20,0.5,-0.16607075086650758
13,3124,4323,14,+0.0,40,18,0.45,0.3224102459727749
13,3124,4323,16,+1.0,40,19,0.475,0.7805958557658872
13,3124,4323,18,+1.0,40,20,0.5,0.2099982521846365
13,3124,4323,20,+0.0,40,18,0.45,-0.22964964702565122
13,3124,4323,22,+0.0,40,18,0.45,0.5543613051358844
13,3124,4323,24,+0.0,40,22,0.55,0.09357001830739003
13,3124,4323,26,+0.0,40,13,0.325,0.07483228147453831
13,3124,4323,28,+0.0,40,16,0.4,0.7906877053844508
14,3364,4563,0,+0.0,40,26,0.65,0.04323809473224177
14,3364,4563,2,+0.0,40,18,0.45,-0.5112841459109493
14,3364,4563,4,+1.0,40,14,0.35,0.27211897938924784
14,3364,4563,6,+0.0,40,20,0.5,0.35556982366458184
14,3364,4563,8,-1.0,40,14,0.35,-0.5735493766919875
14,3364,4563,10,+1.0,40,20,0.5,0.6354151472178055
14,3364,4563,12,+0.0,40,23,0.575,-0.12101805336368385
14,3364,4563,14,+1.0,40,19,0.475,0.46545989875596644
14,3364,4563,16,+1.0,40,17,0.425,0.7922576523465948
14,3364,4563,18,+1.0,40,20,0.5,0.29990895506117
14,3364,4563,20,+0.0,40,19,0.475,-0.07389693119980359
14,3364,4563,22,+0.0,40,17,0.425,0.5682620048696393
14,3364,4563,24,+0.0,40,19,0.475,0.29140543855765744
14,3364,4563,26,+0.0,40,16,0.4,0.1702941485972373
14,3364,4563,28,+1.0,40,17,0.425,0.816097204107405
15,3604,4803,0,+0.0,40,24,0.6,0.10644738283425625
15,3604,4803,2,+0.0,40,17,0.425,-0.5815197993638435
15,3604,4803,4,+1.0,40,17,0.425,0.37485193064833683
15,3604,4803,6,+0.0,40,21,0.525,0.41226997287303807
